Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 12,256GB,iOS,,256 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-256gb-used-for-sale-polonnaruwa-3
Used,Apple,iPhone 14 Pro,256GB KH/A,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-kh-a-used-for-sale-matara-15
Used,Apple,iPhone XS,,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-colombo-4572
Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,5.1 to 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-anuradhapura-82
Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,128 GB,Triple,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1517
Used,Apple,iPhone XS Max,,iOS,6 GB,256 GB,Dual,4 to 5 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-kalutara-630
Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11460
Used,Apple,iPhone 13 Pro Max,13 Pro Max 256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-colombo-4950
Used,Apple,iPhone 12,Apple,iOS,12 GB,128 GB,Dual,Below 4 inches,,Dual SIM,https://ikman.lk/en/ad/apple-iphone-12-brnad-new-condishen-used-for-sale-kalutara
Used,Apple,iPhone 14,128GB,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-14-128-used-for-sale-gampaha-35
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10196
Used,Apple,iPhone 14 Pro Max,14 Pro Max 128GB,iOS,8 GB,128 GB,Triple,5.1 to 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-used-for-sale-vavuniya-40
Used,Apple,iPhone 13 Pro Max,256GB,iOS,,256 GB,Triple,,5G,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-galle-163
Used,Apple,iPhone 11,IPHONE 11,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-badulla-313
Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,5.1 to 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9734
Used,Apple,iPhone 8,iPhone,iOS,2 GB,64 GB,Quad,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-8-used-for-sale-kandy-2186
Used,Apple,iPhone 11 Pro Max,Iphone 11 Pro Max,iOS,4 GB,256 GB,Triple,Above 6 inches,4G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-max-used-for-sale-gampaha-1613
Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11564
Used,Apple,iPhone SE,iPhone,iOS,2 GB,64 GB,Quad,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-se-used-for-sale-kandy-1116
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5857
Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5856
Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,,,4G,,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-7
Used,Apple,iPhone 14 Pro Max,Apple,iOS,6 GB,256 GB,,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-black-esim-version-used-for-sale-jaffna
Used,Apple,iPhone 7,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-7-128gb-used-for-sale-gampaha-15953
Used,Apple,iPhone 16,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1013
Used,Apple,iPhone 13,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11347
Used,Apple,iPhone 15 Pro,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1453
Used,Apple,iPhone 15,Iphone 15,iOS,,128 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-anuradhapura-136
Used,Apple,iPhone 14,256GB Full Box,iOS,,256 GB,Dual,,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-256gb-full-box-used-for-sale-polonnaruwa-1
Used,Apple,iPhone 7,128GB,iOS,,128 GB,,,,,https://ikman.lk/en/ad/apple-iphone-7-128gb-used-for-sale-gampaha-15953
Used,Apple,iPhone 16,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1013
Used,Apple,iPhone 13,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11347
Used,Apple,iPhone 15 Pro,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1453
Used,Apple,iPhone 15,128GB,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-128gb-used-for-sale-colombo-3447
Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,Triple,,4G,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-colombo-4843
Used,Oppo,Find X,find X2 Pro 512GB,iOS,,,,,,,https://ikman.lk/en/ad/oppo-find-x-x2-pro-512-gb-used-for-sale-colombo
Used,Apple,iPhone 14 Pro Max,256GB,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256-gb-used-for-sale-gampaha-131
Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-6
Used,Apple,iPhone 15 Pro,256GB/128GB 94%BH 5G,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-128gb-94-percent-bh-5g-used-for-sale-colombo
