Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 98,500",Used,Apple,iPhone 12 Pro,256GB,iOS,6 GB,256 GB,Triple,,,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-puttalam-257
"Rs 188,500",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-kandy-612
"Rs 49,999",Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-6
"Rs 198,999",Used,Apple,iPhone 15 Pro,256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-128gb-94-percent-bh-5g-used-for-sale-colombo
"Rs 37,500",Used,Apple,iPhone XS,64GB,iOS,3 GB,64 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-xs-64gb-used-for-sale-gampaha-3416
"Rs 98,999",Used,Apple,iPhone 13,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-pink-sameimei-used-for-sale-colombo-3
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-sameimei-box-used-for-sale-colombo-96
"Rs 99,990",Used,Apple,iPhone 12 Pro,256GB FULLSET BOX,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-fullset-box-used-for-sale-colombo-204
"Rs 92,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11561
"Rs 49,999",Used,Apple,iPhone XR,128GB RED FULLSET,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-xr-128gb-red-fullset-used-for-sale-colombo-5
"Rs 29,000",Used,Apple,iPhone X,x,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-x-i-phone-used-for-sale-kandy-243
"Rs 116,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7857
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB FULLSET BOX,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-fullset-box-used-for-sale-colombo-1
,,,,,,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-574
"Rs 72,500",Used,Apple,iPhone 13,128GB,iOS,8 GB,128 GB,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-gampaha-6687
"Rs 198,999",Used,Apple,iPhone 15 Pro,256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-128gb-sameimei-used-for-sale-colombo-38
"Rs 95,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10483
"Rs 118,999",Used,Apple,iPhone 14,128GB FULLSET BOX,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-128gb-fullset-box-used-for-sale-colombo-203
"Rs 175,000",Used,Apple,iPhone 14 Pro,,iOS,,256 GB,,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kalutara-281
"Rs 35,000",Used,Apple,iPhone SE 2,,iOS,,64 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-matara-421
